10681,10681,8704,0,0,1,0,0,0,0,103,103,103,0,103,0,-2094096675,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.339
8704,10681,1469,0,0,2,0,0,0,0,103,103,103,0,0,0,-1735512135,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.289
1469,10681,1469,1,0,2,0,0,0,0,103,103,20,0,0,0,33253502,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,7.287
1469,10681,1,1,0,2,0,1,1469,1,20,103,326,20,326,0,219707221,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.407
1,10681,1,2,0,2,0,1,1469,1,326,103,211,20,326,0,-1396731366,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.423
10681,10681,8704,0,0,1,0,0,0,0,103,103,103,0,0,1,-2094096675,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.209
8704,10681,1469,0,0,2,0,0,0,0,103,103,103,0,0,1,-1735512135,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.222
1469,10681,1469,1,0,2,0,0,0,0,103,103,21,0,0,1,-1655690240,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.239
1469,10681,1,1,0,2,0,1,1469,1,21,103,323,21,323,1,719015876,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.36
1,10681,1,2,0,2,0,1,1469,1,323,103,208,21,323,1,663016113,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.519
10681,10681,8704,0,0,1,0,0,0,0,103,103,103,0,0,2,-2094096675,478386514,2.569699,32.5697,0.0,0.0,47602,47602,47602,47602,12.0,47602,0.0,47602,47602,0.0,0.0,0,0.201
